pais,nbillonarios,logpibpc,logpob,gatt
United States,469,10.786021,19.532846,60
Canada,25,10.743365,17.319439,0
"Bahamas, The",0,10.072139,12.760934,0
Aruba,0,10.223734,11.526276,0
Bermuda,0,11.446847,11.086334,0
Cuba,0,8.590968,16.23999,8
Haiti,0,6.521256,16.081251,58
Dominican Republic,0,8.4916935,16.092798,58
Jamaica,0,8.542905,14.798313,45
Trinidad and Tobago,0,9.960371,14.090448,46
Barbados,0,9.714175,12.534059,41
Dominica,0,8.797091,11.168786,15
Grenada,0,8.980523,11.551492,14
St. Lucia,0,8.821933,12.059508,14
St. Vincent and the Grenadines,0,8.759487,11.600552,15
Antigua and Barbuda,0,9.666902,11.354504,21
St. Kitts and Nevis,0,9.573183,10.841736,42
Mexico,10,9.166166,18.560165,38
Belize,1,8.447289,12.589783,25
Guatemala,0,7.9611955,16.429127,17
Honduras,0,7.540745,15.806444,14
El Salvador,0,8.155853,15.632252,17
Nicaragua,0,7.3119745,15.5503435,60
Costa Rica,0,8.792214,15.326831,11
Panama,0,8.854053,15.083438,60
Colombia,2,8.594866,17.625568,27
"Venezuela, RB",2,9.327005,17.152002,18
Guyana,0,7.815372,13.561571,42
Suriname,0,8.83276,13.152644,60
Ecuador,0,8.3560505,16.490515,12
Peru,0,8.357474,17.169813,14
Brazil,18,9.083965,19.071785,60
Bolivia,0,7.4357696,16.101366,18
Paraguay,0,7.9953694,15.64585,14
Chile,4,9.277479,16.638744,59
Argentina,1,9.23336,17.49626,41
Uruguay,0,9.112454,15.024142,55
Faeroe Islands,0,10.792469,10.811767,0
United Kingdom,35,10.717536,17.939528,60
Ireland,6,11.019133,15.317262,41
Netherlands,5,10.943957,16.615568,4
Belgium,2,10.790409,16.186686,60
Luxembourg,0,11.630505,13.099401,60
France,14,10.722429,17.980175,60
Monaco,1,12.175058,10.482513,0
Liechtenstein,0,11.869273,10.479595,13
Switzerland,11,11.186902,15.849913,58
Spain,18,10.476447,17.643154,60
Andorra,0,10.820503,11.289394,0
Portugal,4,10.119199,16.172411,41
Germany,59,10.729205,18.223572,57
Poland,6,9.539742,17.4564,29
Austria,4,10.846184,15.936205,57
Hungary,0,9.657604,16.121906,35
Czech Republic,1,10.027017,16.155834,45
Slovak Republic,0,9.828704,15.498056,35
Italy,13,10.612207,17.890106,58
San Marino,0,11.03797,10.327087,0
Malta,0,9.947303,12.922397,15
Albania,0,8.394504,14.884542,8
Montenegro,0,8.896425,13.335294,11
Serbia,0,8.810127,15.810241,0
"Macedonia, FYR",0,8.459904,14.556862,26
Croatia,0,9.673283,15.304927,45
Bosnia and Herzegovina,0,8.485936,15.166489,0
Kosovo,0,8.087905,14.37363,0
Slovenia,0,10.222008,14.519259,15
Greece,4,10.3651705,16.230213,58
Cyprus,2,10.147427,13.889772,13
Bulgaria,0,8.870089,15.829421,12
Moldova,0,7.436012,15.088106,22
Romania,2,9.203605,16.837782,14
Russian Federation,87,9.366808,18.77103,37
Estonia,0,9.802986,14.106007,9
Latvia,0,9.704,14.593606,9
Lithuania,0,9.613251,14.978108,7
Ukraine,7,8.266474,17.64975,46
Belarus,0,8.760324,16.069746,0
Armenia,0,8.273014,14.90659,5
Georgia,0,7.9788976,15.2934265,8
Azerbaijan,0,8.625977,15.986094,0
Finland,0,10.8864975,15.485743,58
Sweden,10,10.928643,16.036846,15
Norway,4,11.481349,15.377482,48
Denmark,1,11.070636,15.519098,58
Iceland,2,10.923179,12.667962,40
Greenland,0,10.337962,10.938947,0
Cabo Verde,0,8.213924,13.091185,4
Sao Tome and Principe,0,6.9943104,12.033224,0
Guinea-Bissau,0,6.3450155,14.232193,14
Equatorial Guinea,0,10.062972,13.396998,0
"Gambia, The",0,6.416779,14.271659,43
Mali,0,6.4998693,16.391043,25
Senegal,0,6.99738,16.320122,3
Benin,0,6.60563,16.009764,45
Mauritania,0,7.0712934,15.045999,44
Niger,0,5.904355,16.505932,58
Cote d'Ivoire,0,7.190421,16.720226,18
Guinea,0,6.081775,16.149078,14
Burkina Faso,0,6.347267,16.500608,45
Liberia,0,5.444353,15.116442,0
Sierra Leone,0,6.1156526,15.526085,0
Ghana,0,7.118331,16.955782,51
Togo,0,6.2697353,15.605183,44
Cameroon,0,7.0818877,16.790787,60
Nigeria,1,7.2266364,18.834167,45
Gabon,0,9.255187,14.209472,45
Central African Republic,0,6.162029,15.247043,45
Chad,0,6.8442526,16.216187,45
"Congo, Rep.",0,8.025917,15.170437,45
"Congo, Dem. Rep.",0,5.7885156,17.889977,15
Uganda,0,6.1049423,17.27431,14
Kenya,0,6.8306265,17.473242,44
Tanzania,0,6.471814,17.56157,0
Burundi,0,5.2304225,15.970092,43
Rwanda,0,6.151021,16.140146,0
Djibouti,0,7.117458,13.604913,14
Ethiopia,0,5.791801,18.229776,0
Eritrea,0,5.546885,15.498601,0
Angola,0,8.433,16.7232,14
Mozambique,0,6.185094,16.940626,21
Zambia,0,7.270918,16.337755,26
Zimbabwe,0,5.8447247,16.363708,60
Malawi,0,5.7120724,16.464392,45
South Africa,4,8.664028,17.71872,14
Namibia,0,8.296281,14.562573,60
Lesotho,0,6.7175984,14.494659,20
Botswana,0,8.641198,14.474956,21
Swaziland,0,7.869766,13.958683,30
Madagascar,0,6.1577826,16.807575,5
Comoros,0,6.691714,13.383636,0
Mauritius,0,8.935904,14.053397,45
Seychelles,0,9.316771,11.3731575,45
Morocco,0,7.9624977,17.24805,0
Algeria,0,8.473557,17.391373,0
Tunisia,0,8.376246,16.150455,18
Libya,0,9.604262,15.586524,0
Sudan,0,7.378923,17.343048,0
South Sudan,0,7.4415455,16.025803,0
"Iran, Islamic Rep.",0,8.496882,18.101315,0
Turkey,35,9.247125,18.069185,57
Iraq,0,8.408548,17.19752,0
"Egypt, Arab Rep.",4,7.6774797,18.139536,38
Lebanon,7,8.8374,15.247277,0
Jordan,0,8.242123,15.570951,8
Israel,9,10.284652,15.804589,46
Saudi Arabia,13,9.889495,17.087599,0
"Yemen, Rep.",0,7.244629,16.892988,0
Kuwait,4,10.904114,14.809585,45
Bahrain,0,10.044885,13.925296,15
Qatar,0,11.345855,14.122344,46
United Arab Emirates,6,10.743606,15.732232,0
Oman,1,10.064059,14.768528,60
Afghanistan,0,5.9321856,17.11254,0
Turkmenistan,0,8.273575,15.408319,0
Tajikistan,0,6.564465,15.799989,6
